"mean" "activity" "subjects"
"-0.607522391836014" "STANDING" "2"
"-0.633606314208568" "SITTING" "2"
"-0.643553031373099" "LAYING" "2"
"-0.63012919397725" "WALKING" "2"
"-0.624337936876007" "WALKING_DOWNSTAIRS" "2"
"-0.628355645282404" "WALKING_UPSTAIRS" "2"
"-0.639883147448173" "STANDING" "4"
"-0.635906117499551" "SITTING" "4"
"-0.629876420657766" "LAYING" "4"
"-0.645039855011435" "WALKING" "4"
"-0.632999218754884" "WALKING_DOWNSTAIRS" "4"
"-0.639973837827844" "WALKING_UPSTAIRS" "4"
"-0.644397438696908" "STANDING" "9"
"-0.63110876443376" "SITTING" "9"
"-0.632109081483277" "LAYING" "9"
"-0.628089473591726" "WALKING" "9"
"-0.634203387560794" "WALKING_DOWNSTAIRS" "9"
"-0.589506698496036" "WALKING_UPSTAIRS" "9"
"-0.640679888089531" "STANDING" "10"
"-0.645993647892745" "SITTING" "10"
"-0.640518710327799" "LAYING" "10"
"-0.646324698842316" "WALKING" "10"
"-0.641445804875381" "WALKING_DOWNSTAIRS" "10"
"-0.642383733603152" "WALKING_UPSTAIRS" "10"
"-0.630875080725603" "STANDING" "12"
"-0.631793505517319" "SITTING" "12"
"-0.619421431071453" "LAYING" "12"
"-0.628303269447471" "WALKING" "12"
"-0.627089533537997" "WALKING_DOWNSTAIRS" "12"
"-0.628414047268328" "WALKING_UPSTAIRS" "12"
"-0.659293157090018" "STANDING" "13"
"-0.633405230612481" "SITTING" "13"
"-0.640078551091241" "LAYING" "13"
"-0.636081608692102" "WALKING" "13"
"-0.636301750626951" "WALKING_DOWNSTAIRS" "13"
"-0.638179130162868" "WALKING_UPSTAIRS" "13"
"-0.639930771868791" "STANDING" "18"
"-0.641496217339585" "SITTING" "18"
"-0.642254023210701" "LAYING" "18"
"-0.643707360983648" "WALKING" "18"
"-0.650240242162375" "WALKING_DOWNSTAIRS" "18"
"-0.638986666530727" "WALKING_UPSTAIRS" "18"
"-0.640597914078914" "STANDING" "20"
"-0.639872725383092" "SITTING" "20"
"-0.644724493205524" "LAYING" "20"
"-0.634015600138589" "WALKING" "20"
"-0.632843540612456" "WALKING_DOWNSTAIRS" "20"
"-0.646619496620551" "WALKING_UPSTAIRS" "20"
"-0.645307467575153" "STANDING" "24"
"-0.642718508921569" "SITTING" "24"
"-0.647329814034974" "LAYING" "24"
"-0.637322526513564" "WALKING" "24"
"-0.644100724926612" "WALKING_DOWNSTAIRS" "24"
"-0.622780836987975" "WALKING_UPSTAIRS" "24"
"-0.646017901904583" "STANDING" "1"
"-0.627074988752137" "SITTING" "1"
"-0.627014833570021" "LAYING" "1"
"-0.625412957710496" "WALKING" "1"
"-0.628833138374792" "WALKING_DOWNSTAIRS" "1"
"-0.637726458982249" "WALKING_UPSTAIRS" "1"
"-0.627530823653232" "STANDING" "3"
"-0.647424789141436" "SITTING" "3"
"-0.630886542166037" "LAYING" "3"
"-0.648374467923916" "WALKING" "3"
"-0.627684013763497" "WALKING_DOWNSTAIRS" "3"
"-0.639297749080434" "WALKING_UPSTAIRS" "3"
"-0.633771114374627" "STANDING" "5"
"-0.640037091389994" "SITTING" "5"
"-0.646538416475197" "LAYING" "5"
"-0.644675070329398" "WALKING" "5"
"-0.645518459042212" "WALKING_DOWNSTAIRS" "5"
"-0.640136697217531" "WALKING_UPSTAIRS" "5"
"-0.636454993012462" "STANDING" "6"
"-0.620027732157146" "SITTING" "6"
"-0.638450214241584" "LAYING" "6"
"-0.635992094486953" "WALKING" "6"
"-0.637024168810267" "WALKING_DOWNSTAIRS" "6"
"-0.634194893841734" "WALKING_UPSTAIRS" "6"
"-0.645297950751058" "STANDING" "7"
"-0.644004547265191" "SITTING" "7"
"-0.644356212162637" "LAYING" "7"
"-0.627883524309929" "WALKING" "7"
"-0.650245278868483" "WALKING_DOWNSTAIRS" "7"
"-0.626824657789309" "WALKING_UPSTAIRS" "7"
"-0.630635453342216" "STANDING" "8"
"-0.618583772157932" "SITTING" "8"
"-0.618821537531601" "LAYING" "8"
"-0.629253160586122" "WALKING" "8"
"-0.63369010626409" "WALKING_DOWNSTAIRS" "8"
"-0.639463722621354" "WALKING_UPSTAIRS" "8"
"-0.633713631013694" "STANDING" "11"
"-0.319105810200331" "SITTING" "11"
"-0.327086776127028" "LAYING" "11"
"-0.431366510871248" "WALKING" "11"
"-0.355560155447154" "WALKING_DOWNSTAIRS" "11"
"-0.316988827925179" "WALKING_UPSTAIRS" "11"
"-0.385501824502105" "STANDING" "14"
"-0.390526282476396" "SITTING" "14"
"-0.431362808379042" "LAYING" "14"
"-0.387039462708526" "WALKING" "14"
"-0.436306077297177" "WALKING_DOWNSTAIRS" "14"
"-0.238252786596887" "WALKING_UPSTAIRS" "14"
"-0.385708093716054" "STANDING" "15"
"-0.259518117088663" "SITTING" "15"
"-0.330648706245588" "LAYING" "15"
"-0.274200987116311" "WALKING" "15"
"-0.265296718829829" "WALKING_DOWNSTAIRS" "15"
"-0.416975175176002" "WALKING_UPSTAIRS" "15"
"-0.460842122215599" "STANDING" "16"
"-0.392008755561813" "SITTING" "16"
"-0.377771272094104" "LAYING" "16"
"-0.393787255237739" "WALKING" "16"
"-0.352894943404783" "WALKING_DOWNSTAIRS" "16"
"-0.386865862874514" "WALKING_UPSTAIRS" "16"
"-0.373607524126774" "STANDING" "17"
"-0.43055661483918" "SITTING" "17"
"-0.378535121986988" "LAYING" "17"
"-0.337513362522582" "WALKING" "17"
"-0.306764482858546" "WALKING_DOWNSTAIRS" "17"
"-0.299755499867352" "WALKING_UPSTAIRS" "17"
"-0.37164660578822" "STANDING" "19"
"-0.297226292824001" "SITTING" "19"
"-0.263162073365728" "LAYING" "19"
"-0.348717448293558" "WALKING" "19"
"-0.311490436338625" "WALKING_DOWNSTAIRS" "19"
"-0.317234723087439" "WALKING_UPSTAIRS" "19"
"-0.203378373864087" "STANDING" "21"
"-0.280227328116279" "SITTING" "21"
"-0.339080301791712" "LAYING" "21"
"-0.365194496888334" "WALKING" "21"
"-0.438663811185222" "WALKING_DOWNSTAIRS" "21"
"-0.078306398113335" "WALKING_UPSTAIRS" "21"
"-0.259677293061387" "STANDING" "22"
"-0.247169665420288" "SITTING" "22"
"-0.291301975673511" "LAYING" "22"
"-0.287664837258693" "WALKING" "22"
"-0.20246554081645" "WALKING_DOWNSTAIRS" "22"
"-0.359085991984149" "WALKING_UPSTAIRS" "22"
"-0.429924410531157" "STANDING" "23"
"-0.322473123490661" "SITTING" "23"
"-0.312446129792811" "LAYING" "23"
"-0.291650876955502" "WALKING" "23"
"-0.31726279115201" "WALKING_DOWNSTAIRS" "23"
"-0.350536138554404" "WALKING_UPSTAIRS" "23"
"-0.358790607945901" "STANDING" "25"
"-0.363790441016887" "SITTING" "25"
"-0.296901580091929" "LAYING" "25"
"-0.198922424840441" "WALKING" "25"
"-0.317129508211319" "WALKING_DOWNSTAIRS" "25"
"-0.19351985419359" "WALKING_UPSTAIRS" "25"
"-0.313140747277053" "STANDING" "26"
"-0.40699661814598" "SITTING" "26"
"-0.345652600356602" "LAYING" "26"
"-0.43527506672087" "WALKING" "26"
"-0.42179157558609" "WALKING_DOWNSTAIRS" "26"
"-0.411582073864772" "WALKING_UPSTAIRS" "26"
"-0.285486358859423" "STANDING" "27"
"-0.393720911542089" "SITTING" "27"
"-0.440146451770759" "LAYING" "27"
"-0.401431355861112" "WALKING" "27"
"-0.470681472754459" "WALKING_DOWNSTAIRS" "27"
"-0.316821118319495" "WALKING_UPSTAIRS" "27"
"-0.363983305102955" "STANDING" "28"
"-0.338291941451443" "SITTING" "28"
"-0.381967006088137" "LAYING" "28"
"-0.305185521541175" "WALKING" "28"
"-0.369581312588007" "WALKING_DOWNSTAIRS" "28"
"-0.43583828688532" "WALKING_UPSTAIRS" "28"
"-0.48551223324769" "STANDING" "29"
"-0.41167278243368" "SITTING" "29"
"-0.426267052017458" "LAYING" "29"
"-0.401092965937606" "WALKING" "29"
"-0.364429747315138" "WALKING_DOWNSTAIRS" "29"
"-0.424274671811149" "WALKING_UPSTAIRS" "29"
"-0.439370730188029" "STANDING" "30"
"-0.415260374462441" "SITTING" "30"
"-0.356353464901252" "LAYING" "30"
"-0.330642340129316" "NA" "30"
"-0.427408293255387" "WALKING" "30"
"-0.293377815632218" "WALKING_DOWNSTAIRS" "30"
"-0.427075431896002" "WALKING_UPSTAIRS" "30"
